name,tier,id,family id,author,rarity,element,attack type,attack range,attack cd,dmg min,dmg max,mana,mana regen,cost,description,required element level,required wave level,icon atlas num,release
Rundown Iron Sentry,1,31,31,Glowackos,rare,iron,physical,925,1.4,710,710,0,0,950,A powerful iron tower that will go to great lengths to defend its territory.,6,35,,0
Solid Iron Sentry,2,32,31,Glowackos,rare,iron,physical,925,1.4,1195,1195,0,0,1600,A powerful iron tower that will go to great lengths to defend its territory.,9,47,,0
Modern Iron Sentry,3,33,31,Glowackos,rare,iron,physical,925,1.4,1942,1942,0,0,2600,A powerful iron tower that will go to great lengths to defend its territory.,12,61,,0
Grab-o-Bot,1,34,34,cedi,unique,iron,decay,2400,0.4,659,659,0,0,3500,"When you think it looks very fragile, you're right. But its also a devastating machine.",15,72,,0
Silver Knight,1,39,39,SirCoqalot.,rare,iron,physical,875,1.35,939,1019,0,0,1200,Rare tower with a chance to turn lesser creeps into gold instantly. Gains additional gold for each kill and will do more damage the more gold you have.,7,40,,0
Golden Queen,2,40,39,SirCoqalot.,rare,iron,physical,875,1.35,2557,2637,0,0,3500,Rare tower with a chance to turn lesser creeps into gold instantly. Gains additional gold for each kill and will do more damage the more gold you have.,15,72,,0
Bronze Dragon Roost,1,63,63,cedi,unique,iron,essence,800,2,1186,1190,0,0,1600,The mechanical version of the other two dragon roosts.,9,47,,0
Frozen Well,1,100,100,Boekie,unique,ice,energy,925,2,1261,1261,0,0,1600,This frozen well emits an enormous amount of cold.,9,47,,0
Tidewater Stream,1,112,112,cedi,unique,ice,elemental,820,1.8,3388,3388,0,0,3150,Some people think the purling noise of a river is calming.,14,68,,0
Ball Lightning Accelerator,1,123,123,cedi,unique,iron,magic,1000,0.8,1,1,0,0,2200,"This deadly thing was invented by the dwarves to aid them in the long war against the orcs. However they never ended up using it, as it consumes far too much energy.",11,56,,0
Electric Death,2,124,123,cedi,unique,iron,magic,1000,0.8,1,1,0,0,4400,"This deadly thing was invented by the dwarves to aid them in the long war against the orcs. However they never ended up using it, as it consumes far too much energy.The second generation can be the end of the world...",15,80,,0
Genis Sage,1,131,131,i_m0ck_death,unique,ice,energy,900,1.5,1892,1892,0,0,3500,Powerful mage who is adept in using the water magics.,15,72,,0
Gatling Gun,1,141,141,Boekie,unique,iron,physical,1000,1,795,795,0,0,2750,A very powerful gun created by the dwarves. It has a chance to fire a burst of projectiles.,13,63,,0
Xeno Research Facility,1,158,158,Palandu,unique,iron,physical,1200,1.8,1812,1812,0,0,1984,Empowers you against the alien menace. Model credits: SirCoqaLot plus mOck and MasterCassim.,10,53,,0
Solar Collector,1,197,197,Boekie/D1000,rare,iron,energy,800,1,468,468,0,0,850,A tower which transforms solar-energy in to pure force.,5,33,,0
Solar Conductor,2,198,197,Boekie/D1001,rare,iron,energy,800,1,1375,1375,0,0,2500,A tower which transforms solar-energy in to pure force.,12,60,,0
Marine,1,201,201,Boekie,rare,iron,decay,1200,0.6,336,336,0,0,1500,A highly esteemed footsoldier with low self esteem.,8,45,,0
Experienced Marine,2,294,201,Boekie,rare,iron,decay,1200,0.6,560,560,0,0,2500,A highly esteemed footsoldier with moderate self esteem.,12,60,,0
Fisherman,1,211,211,cedi,unique,ice,physical,1100,1,1983,1983,0,0,3000,Am I a man? So can I be called fisherman?,13,66,,0
"Taita, The Hermit",1,215,215,DaveMatthews,unique,ice,elemental,1000,1.3,3112,3112,0,0,4000,"Standing on a snowy peak, he's watched the world below for decades.",15,77,,0
Bomb Turret,1,217,217,DaveMatthews,rare,iron,physical,900,2.6,2429,2429,0,0,950,Can fire different bombs for a great versatility.,6,35,,0
Grand Bomb Turret,2,218,217,DaveMatthews,rare,iron,physical,900,2.6,5113,5113,0,0,2000,Can fire different bombs for a great versatility.,10,53,,0
