id,tooltip
1,"[b]Tiny Shrub[/b]
[img=32x32]res://Resources/Textures/UI/Icons/gold_icon.tres[/img] [color=ffd700ff]30[/color] [img=32x32]res://Resources/Textures/UI/Icons/food_icon.tres[/img] [color=GOLD][color=ffd700ff]2[/color][/color]
[color=LIGHT_BLUE]Basic nature tower with a slightly increased chance to critical strike.[/color]
[color=YELLOW]Author:[/color] gex
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]28[/color] dps, [color=d2b48cff]Physical[/color], [color=GOLD]800[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+0.75%[/color] crit chance ([color=GOLD]+0.2%[/color]/lvl)

"
2,"[b]Burning Rock[/b]
[img=32x32]res://Resources/Textures/UI/Icons/gold_icon.tres[/img] [color=ffd700ff]1400[/color] [img=32x32]res://Resources/Textures/UI/Icons/food_icon.tres[/img] [color=GOLD][color=ffd700ff]2[/color][/color]
[color=LIGHT_BLUE]Basic tower with low splash damage[/color]
[color=YELLOW]Author:[/color] geX
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1218[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]900[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GREENYELLOW]Splash attack:[/color]
	[color=GOLD]190[/color] AoE: [color=GOLD]25%[/color] damage

"
3,"[b]Mana-Touched Drake[/b]
[img=32x32]res://Resources/Textures/UI/Icons/gold_icon.tres[/img] [color=ffd700ff]500[/color] [img=32x32]res://Resources/Textures/UI/Icons/knowledge_tome_icon.tres[/img] [color=ffd700ff]10[/color] [img=32x32]res://Resources/Textures/UI/Icons/food_icon.tres[/img] [color=GOLD][color=ffd700ff]4[/color][/color]
[color=LIGHT_BLUE]Playful Faerie-Dragon that uses mana to its advantage. [/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]186[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]950[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+1[/color] mana regen/lvl

 
[color=GOLD]Unstable Energies[/color]
This tower has a chance on damage to release a powerful energy blast at the cost of some mana.
 
[color=GOLD]Mana Distortion Field - Aura[/color]
Nearby towers burn creep mana when attacking.

 
[color=ORANGE]NOTE: the visuals for this tower are not ready yet. Current icon and sprite are placeholder.s[/color]
"
4,"[b]Necromantic Altar[/b]
[img=32x32]res://Resources/Textures/UI/Icons/gold_icon.tres[/img] [color=ffd700ff]300[/color] [img=32x32]res://Resources/Textures/UI/Icons/knowledge_tome_icon.tres[/img] [color=ffd700ff]4[/color] [img=32x32]res://Resources/Textures/UI/Icons/food_icon.tres[/img] [color=GOLD][color=ffd700ff]3[/color][/color]
[color=LIGHT_BLUE]This statue is haunted by lost souls.[/color]
[color=YELLOW]Author:[/color] Boekie
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]179[/color] dps, [color=1e90ffff]Energy[/color], [color=GOLD]875[/color] range
 
[color=GOLD]Soul Revenge[/color]
Hits [color=GOLD]3[/color] random creeps with dark powers.

 
Mana cost: [color=GOLD]20[/color], [color=GOLD]875[/color] range, [color=GOLD]1s[/color] cooldown

"
5,"[b]Lunar Sentinel[/b]
[img=32x32]res://Resources/Textures/UI/Icons/gold_icon.tres[/img] [color=ffd700ff]60[/color] [img=32x32]res://Resources/Textures/UI/Icons/knowledge_tome_icon.tres[/img] [color=ffd700ff]4[/color] [img=32x32]res://Resources/Textures/UI/Icons/food_icon.tres[/img] [color=GOLD][color=ffd700ff]3[/color][/color]
[color=LIGHT_BLUE]The spirit of a watcher left to look over the ruins.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]13[/color] dps, [color=1e90ffff]Energy[/color], [color=GOLD]1200[/color] range
 
[color=GOLD]Lunar Grace[/color]
Smites a target creep with a chance to stun the creep and make it more vulnerable to spells.

 
[color=GOLD]1200[/color] range, [color=GOLD]2s[/color] cooldown

"
6,"[b]Necromantic Statue[/b]
[img=32x32]res://Resources/Textures/UI/Icons/gold_icon.tres[/img] [color=ffd700ff]600[/color] [img=32x32]res://Resources/Textures/UI/Icons/knowledge_tome_icon.tres[/img] [color=ffd700ff]4[/color] [img=32x32]res://Resources/Textures/UI/Icons/food_icon.tres[/img] [color=GOLD][color=ffd700ff]3[/color][/color]
[color=LIGHT_BLUE]This statue is haunted by lost souls.[/color]
[color=YELLOW]Author:[/color] Boekie
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]358[/color] dps, [color=1e90ffff]Energy[/color], [color=GOLD]875[/color] range
 
[color=GOLD]Soul Revenge[/color]
Hits [color=GOLD]3[/color] random creeps with dark powers.

 
Mana cost: [color=GOLD]20[/color], [color=GOLD]875[/color] range, [color=GOLD]1s[/color] cooldown

"
7,"[b]Necromantic Shrine[/b]
[img=32x32]res://Resources/Textures/UI/Icons/gold_icon.tres[/img] [color=ffd700ff]1200[/color] [img=32x32]res://Resources/Textures/UI/Icons/knowledge_tome_icon.tres[/img] [color=ffd700ff]4[/color] [img=32x32]res://Resources/Textures/UI/Icons/food_icon.tres[/img] [color=GOLD][color=ffd700ff]3[/color][/color]
[color=LIGHT_BLUE]This statue is haunted by lost souls.[/color]
[color=YELLOW]Author:[/color] Boekie
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]716[/color] dps, [color=1e90ffff]Energy[/color], [color=GOLD]875[/color] range
 
[color=GOLD]Soul Revenge[/color]
Hits [color=GOLD]3[/color] random creeps with dark powers.

 
Mana cost: [color=GOLD]20[/color], [color=GOLD]875[/color] range, [color=GOLD]1s[/color] cooldown

"
8,"[b]Necromantic Monument[/b]
[img=32x32]res://Resources/Textures/UI/Icons/gold_icon.tres[/img] [color=ffd700ff]2600[/color] [img=32x32]res://Resources/Textures/UI/Icons/knowledge_tome_icon.tres[/img] [color=ffd700ff]4[/color] [img=32x32]res://Resources/Textures/UI/Icons/food_icon.tres[/img] [color=GOLD][color=ffd700ff]3[/color][/color]
[color=LIGHT_BLUE]This statue is haunted by lost souls.[/color]
[color=YELLOW]Author:[/color] Boekie
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1552[/color] dps, [color=1e90ffff]Energy[/color], [color=GOLD]875[/color] range
 
[color=GOLD]Soul Revenge[/color]
Hits [color=GOLD]3[/color] random creeps with dark powers.

 
Mana cost: [color=GOLD]20[/color], [color=GOLD]875[/color] range, [color=GOLD]1s[/color] cooldown

"
9,"[b]Polar Bear[/b]
[img=32x32]res://Resources/Textures/UI/Icons/gold_icon.tres[/img] [color=ffd700ff]1400[/color] [img=32x32]res://Resources/Textures/UI/Icons/knowledge_tome_icon.tres[/img] [color=ffd700ff]4[/color] [img=32x32]res://Resources/Textures/UI/Icons/food_icon.tres[/img] [color=GOLD][color=ffd700ff]3[/color][/color]
[color=LIGHT_BLUE]Fast tower that is focused on dealing damage while cooling itself down.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=6495edff]Ice[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]857[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]900[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GREENYELLOW]Splash attack:[/color]
	[color=GOLD]300[/color] AoE: [color=GOLD]35%[/color] damage

 
[color=GOLD]Cold Feet[/color]
On attack this tower decreases its attack speed while increasing its damage.

"
10,"[b]Elder Polar Bear[/b]
[img=32x32]res://Resources/Textures/UI/Icons/gold_icon.tres[/img] [color=ffd700ff]2950[/color] [img=32x32]res://Resources/Textures/UI/Icons/knowledge_tome_icon.tres[/img] [color=ffd700ff]4[/color] [img=32x32]res://Resources/Textures/UI/Icons/food_icon.tres[/img] [color=GOLD][color=ffd700ff]3[/color][/color]
[color=LIGHT_BLUE]Fast tower that is focused on dealing damage while cooling itself down.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=6495edff]Ice[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1674[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]900[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GREENYELLOW]Splash attack:[/color]
	[color=GOLD]300[/color] AoE: [color=GOLD]35%[/color] damage

 
[color=GOLD]Cold Feet[/color]
On attack this tower decreases its attack speed while increasing its damage.

"
